
 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

+----------+-----------------+-----------+----------+----------+----------+----------+-------------+------------------------------------------------------------------------------------------------------+
| Time (%) | Total Time (ns) | Instances | Avg (ns) | Med (ns) | Min (ns) | Max (ns) | StdDev (ns) |                                                 Name                                                 |
|      0.6 |       136286056 |      3478 |  39185.2 |  29280.0 |    22080 |   232031 |     18269.4 | nvjet_sm90_tst_128x248_64x4_2x1_v_bz_coopA_TNT                                                       |
|      0.6 |       131051865 |      2982 |  43947.6 |  34720.0 |    10048 |   283327 |     34245.0 | nvjet_sm90_tst_256x136_64x4_1x2_h_bz_coopA_TNT                                                       |
|      0.6 |       129632286 |     10160 |  12759.1 |  14848.0 |     2624 |    22976 |      6600.0 | void vllm::moe::count_and_sort_expert_tokens_kernel<int>(const T1 *, int *, int *, int *, unsigned … |
|      0.5 |       119099724 |      6664 |  17872.1 |  16480.0 |    10816 |    34368 |      6233.3 | void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMa… |
|      0.5 |       116141358 |      2916 |  39829.0 |  41440.0 |    23744 |    52960 |      7048.0 | void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMa… |
|      0.5 |       110419941 |     10160 |  10868.1 |  12480.0 |     3904 |    16128 |      4408.8 | void vllm::moe::moe_align_block_size_kernel<int>(const T1 *, int *, int *, int *, int *, int, int, … |
|      0.4 |        84505105 |     16191 |   5219.3 |   5215.0 |     4448 |     5856 |       136.5 | void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<… |
|      0.4 |        77003696 |       216 | 356498.6 | 470398.0 |    10624 |   478046 |    199988.6 | nvjet_sm90_tst_192x192_64x4_2x1_v_bz_coopB_TNN                                                       |
|      0.3 |        75212204 |      1268 |  59315.6 |  54464.0 |    16864 |   359487 |     30597.6 | nvjet_sm90_tst_256x152_64x4_1x2_h_bz_coopA_TNT                                                       |
|      0.3 |        67974872 |       698 |  97385.2 |  68896.0 |     9824 |   237983 |     80281.6 | nvjet_sm90_tst_128x256_64x4_2x1_v_bz_coopA_TNN                                                       |
|      0.3 |        65004064 |      2268 |  28661.4 |  24320.0 |    13312 |   154623 |     13671.0 | nvjet_sm90_tst_128x224_64x4_2x1_v_bz_coopA_TNT                                                       |
|      0.3 |        64560382 |      4388 |  14712.9 |  14560.0 |    13664 |    17216 |       598.4 | nvjet_sm90_tst_64x64_64x13_1x2_h_bz_TNT                                                              |
|      0.3 |        64137791 |     15134 |   4238.0 |   4160.0 |     3296 |     8800 |       527.2 | _apply_write_kernel                                                                                  |
|      0.3 |        61997269 |     16191 |   3829.1 |   3904.0 |     2688 |     7744 |       360.4 | _post_update_kernel                                                                                  |
|      0.3 |        61469848 |      6674 |   9210.3 |   9632.0 |     6624 |    34144 |      1923.5 | nvjet_sm90_tst_128x136_64x6_2x1_v_bz_TNT                                                             |
|      0.3 |        61236728 |     16192 |   3781.9 |   3744.0 |     3168 |     7808 |       186.2 | _gather_block_tables_kernel                                                                          |
|      0.3 |        57690246 |       684 |  84342.5 |  86623.5 |    26879 |   173567 |     32970.8 | nvjet_sm90_tst_256x160_64x4_1x2_h_bz_coopA_TNT                                                       |
|      0.3 |        56664534 |     16192 |   3499.5 |   3488.0 |     2176 |     8192 |       194.8 | _combine_sampled_and_draft_tokens_kernel                                                             |
|      0.3 |        54766467 |     10160 |   5390.4 |   5728.0 |     3808 |     6976 |       893.5 | void vllm::moe::topkGating<(int)8, (int)64, (int)4, (int)16, (int)32, int, __nv_bfloat16, (vllm::mo… |
|      0.2 |        53965635 |      1632 |  33067.2 |  27680.0 |    19136 |   218303 |     19077.1 | nvjet_sm90_tst_256x152_64x4_2x1_v_bz_coopA_TNT                                                       |
|      0.2 |        52558348 |     16191 |   3246.1 |   3232.0 |     2432 |     7296 |       180.6 | _get_num_sampled_and_rejected_kernel                                                                 |
|      0.2 |        48829475 |     10552 |   4627.5 |   5632.0 |     1728 |     7520 |      1819.5 | triton_per_fused_2                                                                                   |
|      0.2 |        48534244 |      1944 |  24966.2 |  28256.0 |    13216 |    93824 |      7308.5 | nvjet_sm90_tst_128x200_64x5_2x1_v_bz_coopA_TNT                                                       |
|      0.2 |        48492816 |      1150 |  42167.7 |  28384.0 |    17600 |   425662 |     45232.8 | nvjet_sm90_tst_192x208_64x4_1x2_h_bz_coopB_TNT                                                       |
|      0.2 |        44421384 |     16192 |   2743.4 |   2688.0 |     2559 |     4416 |       208.4 | _compute_slot_mappings_kernel                                                                        |
|      0.2 |        38444584 |      1990 |  19318.9 |  18496.0 |    11296 |    65440 |      5035.1 | nvjet_sm90_tst_128x184_64x5_2x1_v_bz_coopA_TNT                                                       |
|      0.2 |        38057570 |       792 |  48052.5 |  45664.0 |    15424 |   167679 |     19500.0 | nvjet_sm90_tst_128x240_64x4_2x1_v_bz_coopA_TNT                                                       |
|      0.2 |        34547414 |     12966 |   2664.5 |   2752.0 |     1920 |     5248 |       412.3 | void flash::prepare_varlen_num_blocks_kernel<(int)1, (bool)0>(int, int, int, const int *, const int… |
|      0.2 |        33782556 |     16191 |   2086.5 |   2080.0 |     1824 |     2944 |       109.1 | void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void … |
|      0.2 |        33005512 |     16191 |   2038.5 |   1984.0 |     1824 |     2784 |       130.7 | void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void … |
|      0.2 |        32921299 |     32383 |   1016.6 |    992.0 |      960 |     1760 |        42.3 | void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<cha… |
|      0.1 |        29892065 |     15518 |   1926.3 |   1920.0 |     1887 |     2208 |        38.7 | void flash::prepare_varlen_num_blocks_kernel<(int)2, (bool)0>(int, int, int, const int *, const int… |
|      0.1 |        29289685 |     16191 |   1809.0 |   1792.0 |     1600 |     2304 |        98.0 | void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatte… |
|      0.1 |        27554513 |     16095 |   1712.0 |   1696.0 |     1440 |     2784 |        90.9 | void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, lon… |
|      0.1 |        26167016 |      1782 |  14684.1 |  15904.0 |     9248 |    20127 |      2487.9 | void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMa… |
|      0.1 |        24655607 |      2430 |  10146.3 |  10176.0 |     8896 |    11616 |       444.4 | nvjet_sm90_tst_64x80_64x11_1x2_h_bz_TNT                                                              |
|      0.1 |        24423636 |       486 |  50254.4 |  62032.0 |    23104 |   168288 |     17999.6 | nvjet_sm90_tst_192x160_64x4_1x2_h_bz_coopB_TNT                                                       |
|      0.1 |        23738693 |     16192 |   1466.1 |   1472.0 |     1312 |     1792 |        43.5 | _prepare_pos_seq_lens_kernel                                                                         |
|      0.1 |        21542046 |       484 |  44508.4 |  54752.0 |     8544 |   203871 |     24096.2 | nvjet_sm90_tst_128x216_64x4_2x1_v_bz_coopA_TNT                                                       |
|      0.1 |        20255336 |      1782 |  11366.6 |  12080.0 |     2304 |    18592 |      5832.4 | void vllm::merge_attn_states_kernel<__nv_bfloat16, __nv_bfloat16, (unsigned int)128, (bool)0>(T2 *,… |
|      0.1 |        19481549 |       664 |  29339.7 |  25824.0 |    15392 |   343806 |     38808.0 | nvjet_sm90_tst_192x176_64x4_1x2_h_bz_coopB_TNT                                                       |
|      0.1 |        18747723 |      1458 |  12858.5 |  12640.0 |    12192 |    16192 |       655.3 | nvjet_sm90_tst_112x128_64x7_2x1_v_bz_TNN                                                             |
|      0.1 |        17591248 |       228 |  77154.6 |  76480.0 |    70400 |    85888 |      4238.8 | nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT                                                               |
|      0.1 |        17468235 |     16192 |   1078.8 |   1056.0 |      960 |     1376 |        37.3 | void at::native::vectorized_elementwise_kernel<(int)8, at::native::FillFunctor<bool>, std::array<ch… |
|      0.1 |        16420618 |     16150 |   1016.8 |    992.0 |      960 |     1376 |        50.8 | void at::native::unrolled_elementwise_kernel<at::native::FillFunctor<int>, std::array<char *, (unsi… |
|      0.1 |        15335555 |     16192 |    947.1 |    928.0 |      896 |     1216 |        26.7 | void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &,… |
|      0.1 |        15256923 |       288 |  52975.4 |  41279.5 |    19807 |   257631 |     50026.3 | nvjet_sm90_tst_256x160_64x4_2x1_v_bz_coopA_TNT                                                       |
|      0.1 |        14697923 |       736 |  19970.0 |  18240.0 |    11231 |    41920 |      6941.5 | nvjet_sm90_tst_128x176_64x5_2x1_v_bz_TNT                                                             |
|      0.1 |        13030791 |      2340 |   5568.7 |   5568.0 |     5376 |     5952 |        70.3 | nvjet_sm90_tst_16x64_64x16_4x2_h_bz_TNN                                                              |
|      0.1 |        12865800 |       166 |  77504.8 |  73967.5 |    72415 |    86432 |      4905.5 | nvjet_sm90_tst_256x24_64x6_4x1_v_bz_TNT                                                              |
|      0.1 |        12693651 |      7776 |   1632.4 |   1632.0 |     1408 |     1856 |        37.6 | void at::native::vectorized_elementwise_kernel<(int)8, at::native::FillFunctor<c10::BFloat16>, std:… |
|      0.1 |        12668497 |       160 |  79178.1 |  81072.0 |    71711 |    86719 |      4258.4 | nvjet_sm90_tst_256x16_64x6_4x1_v_bz_TNT                                                              |
|      0.1 |        12486190 |      3510 |   3557.3 |   3552.0 |     3232 |     4448 |       101.6 | nvjet_sm90_tst_64x8_64x16_2x1_v_bz_TNT                                                               |
|      0.1 |        11811694 |       594 |  19885.0 |  19776.0 |    19200 |    21088 |       332.2 | nvjet_sm90_tst_192x128_64x5_1x2_h_bz_coopB_TNT                                                       |
|      0.1 |        11187084 |       324 |  34528.0 |  37088.0 |    20288 |    37920 |      5916.6 | nvjet_sm90_tst_256x104_64x4_1x2_h_bz_coopA_TNT                                                       |
|      0.1 |        10913793 |      3510 |   3109.3 |   3104.0 |     2656 |     4032 |       142.0 | nvjet_sm90_tst_64x8_64x16_4x1_v_bz_NNT                                                               |
|      0.0 |        10040699 |       884 |  11358.3 |  10496.0 |     9376 |    14976 |      1651.0 | nvjet_sm90_tst_64x64_64x13_1x4_h_bz_TNT                                                              |
|      0.0 |         9149215 |      7776 |   1176.6 |   1120.0 |     1088 |     1600 |        97.0 | void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n… |
|      0.0 |         8584180 |       182 |  47165.8 |  32399.5 |    25119 |   113440 |     22066.7 | nvjet_sm90_tst_256x120_64x4_2x1_v_bz_coopA_TNT                                                       |
|      0.0 |         8466654 |      1782 |   4751.2 |   4768.0 |     4128 |     5504 |       187.6 | void vllm::gather_and_maybe_dequant_cache_page<__nv_bfloat16, __nv_bfloat16, (vllm::Fp8KVCacheDataT… |
|      0.0 |         8327258 |       160 |  52045.4 |  27696.0 |    26752 |   104128 |     35591.5 | nvjet_sm90_tst_256x144_64x4_1x2_h_bz_coopA_TNT                                                       |
|      0.0 |         8228829 |       486 |  16931.7 |  16832.0 |    16352 |    18400 |       402.9 | nvjet_sm90_tst_192x104_64x5_1x2_h_bz_TNT                                                             |
|      0.0 |         8043261 |       212 |  37939.9 |  37856.0 |    37184 |    39104 |       381.3 | nvjet_sm90_tst_128x208_64x5_2x1_v_bz_coopA_TNT                                                       |
|      0.0 |         6922126 |       270 |  25637.5 |  30160.0 |    17792 |    31360 |      5954.0 | nvjet_sm90_tst_192x112_64x5_1x2_h_bz_TNT                                                             |
|      0.0 |         6791680 |       392 |  17325.7 |  20816.0 |     3008 |    30016 |      9639.8 | triton_poi_fused_0                                                                                   |
|      0.0 |         6429413 |        52 | 123642.6 | 123455.5 |   121279 |   127680 |      1530.4 | nvjet_sm90_tst_128x272_64x4_1x2_h_bz_coopA_TNT                                                       |
|      0.0 |         6347139 |       540 |  11754.0 |  11680.0 |    11296 |    12960 |       263.4 | nvjet_sm90_tst_128x96_64x7_2x1_v_bz_TNT                                                              |
|      0.0 |         6304162 |      1674 |   3765.9 |   3744.0 |     3520 |     4608 |       114.2 | nvjet_sm90_tst_64x8_64x16_2x4_h_bz_TNT                                                               |
|      0.0 |         6247677 |       586 |  10661.6 |  10432.0 |     6912 |    35776 |      1972.7 | nvjet_sm90_tst_128x144_64x6_2x1_v_bz_TNT                                                             |
|      0.0 |         6077736 |       110 |  55252.1 |  63632.0 |    42784 |   112224 |     13189.6 | nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT                                                       |
|      0.0 |         5534603 |       264 |  20964.4 |  20912.0 |    19232 |    22816 |      1231.5 | nvjet_sm90_tst_128x192_64x5_2x1_v_bz_coopB_TNN                                                       |
|      0.0 |         5448845 |      1480 |   3681.7 |   3680.0 |     3360 |     4672 |       105.8 | nvjet_sm90_tst_64x8_64x16_2x2_h_bz_TNT                                                               |
|      0.0 |         5163789 |      1080 |   4781.3 |   4800.0 |     4320 |     5440 |       135.0 | nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT                                                              |
|      0.0 |         5140947 |      1480 |   3473.6 |   3488.0 |     3040 |     4288 |       147.8 | nvjet_sm90_tst_64x8_64x16_1x2_h_bz_NNT                                                               |
|      0.0 |         4984616 |       128 |  38942.3 |  24784.0 |    23744 |   184543 |     36205.5 | nvjet_sm90_tst_128x272_64x4_2x1_v_bz_coopA_TNT                                                       |
|      0.0 |         4846799 |        60 |  80780.0 |  57327.5 |    55616 |   369374 |     74254.9 | nvjet_sm90_tst_192x208_64x4_2x1_v_bz_coopB_TNT                                                       |
|      0.0 |         4705420 |        12 | 392118.3 | 392846.5 |   320286 |   462398 |     70132.5 | nvjet_sm90_tst_192x208_64x4_1x1_h_bz_coopB_TNT                                                       |
|      0.0 |         4637446 |       756 |   6134.2 |   6112.0 |     5888 |     7040 |       112.4 | nvjet_sm90_tst_128x192_64x5_2x1_v_bz_coopB_NNN                                                       |
|      0.0 |         4588909 |        60 |  76481.8 |  61103.5 |    43136 |   304991 |     60730.5 | nvjet_sm90_tst_128x232_64x4_2x1_v_bz_coopA_TNT                                                       |
|      0.0 |         4445673 |       270 |  16465.5 |  16352.0 |    14784 |    18400 |       740.4 | nvjet_sm90_tst_192x88_64x6_1x2_h_bz_TNT                                                              |
|      0.0 |         4349902 |       106 |  41036.8 |  37120.0 |    35520 |    47200 |      4916.9 | nvjet_sm90_tst_256x120_64x4_1x2_h_bz_coopA_TNT                                                       |
|      0.0 |         4258064 |       864 |   4928.3 |   4928.0 |     4543 |     5280 |       131.5 | nvjet_sm90_tst_64x104_64x10_2x1_v_bz_TNT                                                             |
|      0.0 |         4176597 |       324 |  12890.7 |  12896.0 |    12416 |    13440 |       176.6 | nvjet_sm90_tst_128x112_64x7_4x2_h_bz_TNT                                                             |
|      0.0 |         4150790 |       108 |  38433.2 |  38400.0 |    37983 |    39039 |       226.1 | nvjet_sm90_tst_192x144_64x5_4x2_h_bz_coopB_TNT                                                       |
|      0.0 |         3992879 |       572 |   6980.6 |   6944.0 |     6272 |     8224 |       294.5 | nvjet_sm90_tst_64x40_64x16_1x4_h_bz_TNT                                                              |
|      0.0 |         3865872 |       114 |  33911.2 |  26464.0 |    25952 |   237471 |     33545.0 | nvjet_sm90_tst_256x144_64x4_2x1_v_bz_coopA_TNT                                                       |
|      0.0 |         3781267 |       216 |  17505.9 |  17423.5 |    13120 |    22240 |      4079.9 | nvjet_sm90_tst_256x96_64x4_2x1_v_bz_coopA_TNT                                                        |
|      0.0 |         3778569 |      1080 |   3498.7 |   3488.0 |     2944 |     4544 |       242.7 | nvjet_sm90_tst_64x16_64x16_1x2_h_bz_NNT                                                              |
|      0.0 |         3727247 |         8 | 465905.9 | 471469.5 |   443070 |   476382 |     12464.6 | nvjet_sm90_tst_256x160_64x4_1x1_h_bz_coopA_TNT                                                       |
|      0.0 |         3599024 |       162 |  22216.2 |  22240.0 |    21632 |    22944 |       227.9 | nvjet_sm90_tst_192x144_64x5_1x2_h_bz_coopB_TNT                                                       |
|      0.0 |         3469159 |       416 |   8339.3 |   8448.0 |     7104 |     9535 |       443.8 | nvjet_sm90_tst_64x48_64x15_1x4_h_bz_TNT                                                              |
|      0.0 |         3457106 |       312 |  11080.5 |  11040.0 |    10496 |    12544 |       315.8 | nvjet_sm90_tst_64x72_64x12_1x4_h_bz_TNT                                                              |
|      0.0 |         2872434 |      1620 |   1773.1 |   1760.0 |     1568 |     2176 |        68.4 | void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n… |
|      0.0 |         2618293 |       104 |  25175.9 |  25104.0 |    17888 |    33503 |      7023.0 | nvjet_sm90_tst_176x128_64x5_1x2_h_bz_TNN                                                             |
|      0.0 |         2583286 |        54 |  47838.6 |  47935.5 |    46944 |    48704 |       518.6 | nvjet_sm90_tst_192x176_64x4_2x1_v_bz_coopB_TNT                                                       |
|      0.0 |         2572915 |        74 |  34769.1 |  34303.5 |    33216 |    40255 |      1364.7 | nvjet_sm90_tst_128x136_64x6_1x2_h_bz_TNT                                                             |
|      0.0 |         2555448 |         8 | 319431.0 | 319887.0 |   312191 |   322815 |      3359.3 | nvjet_sm90_tst_256x136_64x4_1x1_h_bz_coopA_TNT                                                       |
|      0.0 |         2549557 |       108 |  23607.0 |  23551.5 |    23168 |    24352 |       244.7 | nvjet_sm90_tst_192x160_64x4_1x4_h_bz_coopB_TNT                                                       |
|      0.0 |         2537840 |       416 |   6100.6 |   6112.0 |     5376 |     6976 |       244.5 | nvjet_sm90_tst_64x24_64x16_1x4_h_bz_TNT                                                              |
|      0.0 |         2525683 |       108 |  23386.0 |  21632.0 |    18783 |   112543 |     12530.0 | nvjet_sm90_tst_256x88_64x4_2x1_v_bz_TNT                                                              |
|      0.0 |         2214677 |       398 |   5564.5 |   5584.0 |     4256 |     7392 |       453.6 | _prepare_prefill_inputs_kernel                                                                       |
|      0.0 |         2164919 |       378 |   5727.3 |   5728.0 |     5440 |     6144 |       124.7 | nvjet_sm90_tst_128x72_64x8_1x4_h_bz_TNT                                                              |
|      0.0 |         2161555 |       156 |  13856.1 |  13744.0 |    13023 |    15168 |       481.9 | nvjet_sm90_tst_64x88_64x11_1x4_h_bz_TNT                                                              |
|      0.0 |         2041558 |       594 |   3437.0 |   3456.0 |     2784 |     4288 |       182.0 | nvjet_sm90_tst_64x24_64x16_4x1_v_bz_NNT                                                              |
|      0.0 |         2006102 |       324 |   6191.7 |   6176.0 |     5888 |     7008 |       138.9 | nvjet_sm90_tst_128x112_64x7_2x1_v_bz_NNT                                                             |
|      0.0 |         1991637 |       156 |  12766.9 |  12864.0 |    11775 |    14176 |       527.2 | nvjet_sm90_tst_64x80_64x11_1x4_h_bz_TNT                                                              |
|      0.0 |         1868659 |       208 |   8983.9 |   9024.0 |     8032 |    10048 |       446.8 | nvjet_sm90_tst_64x56_64x14_1x4_h_bz_TNT                                                              |
|      0.0 |         1850837 |       108 |  17137.4 |  17072.0 |    16479 |    18175 |       324.6 | nvjet_sm90_tst_128x160_64x5_2x1_v_bz_TNT                                                             |
|      0.0 |         1710454 |        54 |  31675.1 |  31136.0 |    29568 |    34720 |      1676.0 | nvjet_sm90_tst_128x168_64x5_1x2_h_bz_TNT                                                             |
|      0.0 |         1702681 |       378 |   4504.4 |   4512.0 |     4288 |     4864 |        84.8 | nvjet_sm90_tst_64x72_64x12_2x2_h_bz_TNT                                                              |
|      0.0 |         1687865 |         4 | 421966.3 | 422334.5 |   419198 |   423998 |      2273.2 | nvjet_sm90_tst_256x152_64x4_1x1_h_bz_coopA_TNT                                                       |
|      0.0 |         1673305 |       108 |  15493.6 |  15456.0 |    14816 |    16640 |       355.4 | nvjet_sm90_tst_192x80_64x6_1x2_h_bz_TNT                                                              |
|      0.0 |         1672382 |       106 |  15777.2 |  14496.0 |    13792 |    18688 |      1759.5 | nvjet_sm90_tst_128x128_64x6_2x1_v_bz_TNT                                                             |
|      0.0 |         1644056 |       108 |  15222.7 |  15264.0 |    14016 |    16000 |       407.9 | nvjet_sm90_tst_192x72_64x6_1x2_h_bz_TNT                                                              |
|      0.0 |         1639221 |       378 |   4336.6 |   4352.0 |     4096 |     4672 |        95.9 | nvjet_sm90_tst_64x64_64x13_2x2_h_bz_TNT                                                              |
|      0.0 |         1523068 |        52 |  29289.8 |  29184.0 |    28384 |    30112 |       479.5 | nvjet_sm90_tst_128x304_64x3_2x1_v_bz_coopA_TNT                                                       |
|      0.0 |         1518140 |       162 |   9371.2 |   9456.0 |     6559 |    33760 |      3244.6 | nvjet_sm90_tst_128x128_64x6_1x2_h_bz_TNT                                                             |
|      0.0 |         1476311 |       108 |  13669.5 |  13632.0 |    13408 |    14272 |       159.8 | nvjet_sm90_tst_192x80_64x6_1x4_h_bz_TNT                                                              |
|      0.0 |         1385973 |       108 |  12833.1 |  12816.0 |    12288 |    13856 |       313.6 | nvjet_sm90_tst_192x72_64x6_4x1_v_bz_TNT                                                              |
|      0.0 |         1328666 |        60 |  22144.4 |  16496.0 |    15999 |    77920 |     17237.0 | nvjet_sm90_tst_256x128_64x4_2x1_v_bz_coopA_TNT                                                       |
|      0.0 |         1320506 |       108 |  12226.9 |  12096.0 |    10944 |    14048 |       674.0 | nvjet_sm90_tst_64x128_64x8_1x2_h_bz_TNN                                                              |
|      0.0 |         1317237 |       208 |   6332.9 |   6336.0 |     6048 |     6848 |       162.5 | nvjet_sm90_tst_32x64_64x16_2x4_h_bz_TNN                                                              |
|      0.0 |         1308406 |       162 |   8076.6 |   7951.5 |     5792 |    30464 |      2909.3 | nvjet_sm90_tst_128x88_64x7_1x2_h_bz_TNT                                                              |
|      0.0 |         1223800 |       270 |   4532.6 |   4607.0 |     4128 |     5312 |       187.3 | nvjet_sm90_tst_128x88_64x7_1x2_h_bz_NNT                                                              |
|      0.0 |         1201817 |       270 |   4451.2 |   4480.0 |     4000 |     5279 |       223.8 | nvjet_sm90_tst_64x168_64x7_2x1_v_bz_NNT                                                              |
|      0.0 |         1198457 |        54 |  22193.6 |  22223.5 |    21760 |    22592 |       181.9 | nvjet_sm90_tst_192x144_64x5_1x4_h_bz_coopB_TNT                                                       |
|      0.0 |         1195964 |       270 |   4429.5 |   4416.0 |     4192 |     4960 |       121.6 | nvjet_sm90_tst_128x80_64x8_1x2_h_bz_NNT                                                              |
|      0.0 |         1189822 |       270 |   4406.7 |   4416.0 |     4096 |     4800 |        97.9 | nvjet_sm90_tst_64x56_64x14_2x2_h_bz_TNT                                                              |
|      0.0 |         1089017 |       108 |  10083.5 |  10016.0 |     9632 |    11264 |       267.7 | nvjet_sm90_tst_144x64_64x8_2x1_v_bz_TNN                                                              |
|      0.0 |         1079551 |       216 |   4997.9 |   4992.0 |     4768 |     5440 |       105.4 | nvjet_sm90_tst_64x112_64x9_2x1_v_bz_TNT                                                              |
|      0.0 |          969629 |       162 |   5985.4 |   5984.0 |     5824 |     6624 |       108.1 | nvjet_sm90_tst_128x184_64x5_2x1_v_bz_coopA_NNT                                                       |
|      0.0 |          900829 |       216 |   4170.5 |   4160.0 |     4032 |     4832 |        98.9 | nvjet_sm90_tst_64x24_64x16_2x2_h_bz_TNT                                                              |
|      0.0 |          854431 |        54 |  15822.8 |  15840.0 |    15360 |    16384 |       203.8 | nvjet_sm90_tst_128x144_64x6_4x2_h_bz_TNT                                                             |
|      0.0 |          826587 |       162 |   5102.4 |   5120.0 |     4864 |     5216 |        69.8 | nvjet_sm90_tst_64x120_64x9_2x1_v_bz_TNT                                                              |
|      0.0 |          794813 |        54 |  14718.8 |  14592.0 |    12832 |    16704 |      1033.7 | nvjet_sm90_tst_64x160_64x7_1x2_h_bz_TNT                                                              |
|      0.0 |          793180 |         2 | 396590.0 | 396590.0 |   395262 |   397918 |      1878.1 | nvjet_sm90_tst_192x176_64x4_1x1_h_bz_coopB_TNT                                                       |
|      0.0 |          787932 |         6 | 131322.0 | 131407.5 |   129600 |   132767 |      1262.3 | nvjet_sm90_tst_192x192_64x4_1x1_h_bz_coopB_TNN                                                       |
